code,first_letter,level,name,parent_code,region
110100,B,2,北京市,110000,0
120100,T,2,天津市,120000,0
130100,S,2,石家庄市,130000,0
130200,T,2,唐山市,130000,0
130300,Q,2,秦皇岛市,130000,0
130400,H,2,邯郸市,130000,0
130500,X,2,邢台市,130000,0
130600,B,2,保定市,130000,0
130700,Z,2,张家口市,130000,0
130800,C,2,承德市,130000,0
130900,C,2,沧州市,130000,0
131000,L,2,廊坊市,130000,0
131100,H,2,衡水市,130000,0
140100,T,2,太原市,140000,0
140200,D,2,大同市,140000,0
140300,Y,2,阳泉市,140000,0
140400,Z,2,长治市,140000,0
140500,J,2,晋城市,140000,0
140600,S,2,朔州市,140000,0
140700,J,2,晋中市,140000,0
140800,Y,2,运城市,140000,0
140900,X,2,忻州市,140000,0
141000,L,2,临汾市,140000,0
141100,L,2,吕梁市,140000,0
150100,H,2,呼和浩特市,150000,0
150200,B,2,包头市,150000,0
150300,W,2,乌海市,150000,0
150400,C,2,赤峰市,150000,0
150500,T,2,通辽市,150000,0
150600,E,2,鄂尔多斯市,150000,0
150700,H,2,呼伦贝尔市,150000,0
150800,B,2,巴彦淖尔市,150000,0
150900,W,2,乌兰察布市,150000,0
152200,X,2,兴安盟,150000,0
152500,X,2,锡林郭勒盟,150000,0
152900,A,2,阿拉善盟,150000,0
210100,S,2,沈阳市,210000,0
210200,D,2,大连市,210000,0
210300,A,2,鞍山市,210000,0
210400,F,2,抚顺市,210000,0
210500,B,2,本溪市,210000,0
210600,D,2,丹东市,210000,0
210700,J,2,锦州市,210000,0
210800,Y,2,营口市,210000,0
210900,F,2,阜新市,210000,0
211000,L,2,辽阳市,210000,0
211100,P,2,盘锦市,210000,0
211200,T,2,铁岭市,210000,0
211300,Z,2,朝阳市,210000,0
211400,H,2,葫芦岛市,210000,0
220100,C,2,长春市,220000,0
220200,J,2,吉林市,220000,0
220300,S,2,四平市,220000,0
220400,L,2,辽源市,220000,0
220500,T,2,通化市,220000,0
220600,B,2,白山市,220000,0
220700,S,2,松原市,220000,0
220800,B,2,白城市,220000,0
222400,Y,2,延边朝鲜族自治州,220000,0
230100,H,2,哈尔滨市,230000,0
230200,Q,2,齐齐哈尔市,230000,0
230300,J,2,鸡西市,230000,0
230400,H,2,鹤岗市,230000,0
230500,S,2,双鸭山市,230000,0
230600,D,2,大庆市,230000,0
230700,Y,2,伊春市,230000,0
230800,J,2,佳木斯市,230000,0
230900,Q,2,七台河市,230000,0
231000,M,2,牡丹江市,230000,0
231100,H,2,黑河市,230000,0
231200,S,2,绥化市,230000,0
232700,D,2,大兴安岭地区,230000,0
310100,S,2,上海市,310000,0
320100,N,2,南京市,320000,0
320200,W,2,无锡市,320000,0
320300,X,2,徐州市,320000,0
320400,C,2,常州市,320000,0
320500,S,2,苏州市,320000,0
320600,N,2,南通市,320000,0
320700,L,2,连云港市,320000,0
