code,first_letter,level,name,parent_code,region
110101,d,3,东城区,110100,0
110102,x,3,西城区,110100,0
110105,c,3,朝阳区,110100,0
110106,f,3,丰台区,110100,0
110107,s,3,石景山区,110100,0
110108,h,3,海淀区,110100,0
110109,m,3,门头沟区,110100,0
110111,f,3,房山区,110100,0
110112,t,3,通州区,110100,0
110113,s,3,顺义区,110100,0
110114,c,3,昌平区,110100,0
110115,d,3,大兴区,110100,0
110116,h,3,怀柔区,110100,0
110117,p,3,平谷区,110100,0
110118,m,3,密云区,110100,0
110119,y,3,延庆区,110100,0
120101,h,3,和平区,120100,0
120102,h,3,河东区,120100,0
120103,h,3,河西区,120100,0
120104,n,3,南开区,120100,0
120105,h,3,河北区,120100,0
120106,h,3,红桥区,120100,0
120110,d,3,东丽区,120100,0
120111,x,3,西青区,120100,0
120112,j,3,津南区,120100,0
120113,b,3,北辰区,120100,0
120114,w,3,武清区,120100,0
120115,b,3,宝坻区,120100,0
120116,b,3,滨海新区,120100,0
120117,n,3,宁河区,120100,0
120118,j,3,静海区,120100,0
120119,j,3,蓟州区,120100,0
130102,c,3,长安区,130100,0
130104,q,3,桥西区,130100,0
130105,x,3,新华区,130100,0
130107,j,3,井陉矿区,130100,0
130108,y,3,裕华区,130100,0
130109,g,3,藁城区,130100,0
130110,l,3,鹿泉区,130100,0
130111,l,3,栾城区,130100,0
130121,j,3,井陉县,130100,0
130123,z,3,正定县,130100,0
130125,x,3,行唐县,130100,0
130126,l,3,灵寿县,130100,0
130127,g,3,高邑县,130100,0
130128,s,3,深泽县,130100,0
130129,z,3,赞皇县,130100,0
130130,w,3,无极县,130100,0
130131,p,3,平山县,130100,0
130132,y,3,元氏县,130100,0
130133,z,3,赵县,130100,0
130181,x,3,辛集市,130100,0
130183,j,3,晋州市,130100,0
130184,x,3,新乐市,130100,0
130202,l,3,路南区,130200,0
130203,l,3,路北区,130200,0
130204,g,3,古冶区,130200,0
130205,k,3,开平区,130200,0
130207,f,3,丰南区,130200,0
130208,f,3,丰润区,130200,0
130209,c,3,曹妃甸区,130200,0
130224,l,3,滦南县,130200,0
130225,l,3,乐亭县,130200,0
130227,q,3,迁西县,130200,0
130229,y,3,玉田县,130200,0
130281,z,3,遵化市,130200,0
130283,q,3,迁安市,130200,0
130284,l,3,滦州市,130200,0
130302,h,3,海港区,130300,0
130303,s,3,山海关区,130300,0
130304,b,3,北戴河区,130300,0
130306,f,3,抚宁区,130300,0
130321,q,3,青龙满族自治县,130300,0
130322,c,3,昌黎县,130300,0
130324,l,3,卢龙县,130300,0
130402,h,3,邯山区,130400,0
130403,c,3,丛台区,130400,0
130404,f,3,复兴区,130400,0
130406,f,3,峰峰矿区,130400,0
130407,f,3,肥乡区,130400,0
130408,y,3,永年区,130400,0
130423,l,3,临漳县,130400,0
130424,c,3,成安县,130400,0
130425,d,3,大名县,130400,0
130426,s,3,涉县,130400,0
130427,c,3,磁县,130400,0
130430,q,3,邱县,130400,0
130431,j,3,鸡泽县,130400,0
130432,g,3,广平县,130400,0
130433,g,3,馆陶县,130400,0
130434,w,3,魏县,130400,0
130435,q,3,曲周县,130400,0
130481,w,3,武安市,130400,0
130502,q,3,桥东区,130500,0
130503,q,3,桥西区,130500,0
130521,x,3,邢台县,130500,0
130522,l,3,临城县,130500,0
130523,n,3,内丘县,130500,0
130524,b,3,柏乡县,130500,0
130525,l,3,隆尧县,130500,0
130526,r,3,任县,130500,0
130527,n,3,南和县,130500,0
130528,n,3,宁晋县,130500,0
130529,j,3,巨鹿县,130500,0
130530,x,3,新河县,130500,0
130531,g,3,广宗县,130500,0
130532,p,3,平乡县,130500,0
130533,w,3,威县,130500,0
130534,q,3,清河县,130500,0
130535,l,3,临西县,130500,0
130581,n,3,南宫市,130500,0
130582,s,3,沙河市,130500,0
130602,j,3,竞秀区,130600,0
130606,l,3,莲池区,130600,0
130607,m,3,满城区,130600,0
130608,q,3,清苑区,130600,0
130609,x,3,徐水区,130600,0
130623,l,3,涞水县,130600,0
130624,f,3,阜平县,130600,0
130626,d,3,定兴县,130600,0
